WOEID;ISO Country Code;Preferred "Normal" Name;Language Code of Name;laceType Code;Parent ID
2344844;BR;Acre;POR;State;23424768
2344845;BR;Alagoas;POR;State;23424768
2344846;BR;Amapá;POR;State;23424768
2344847;BR;Amazonas;POR;State;23424768
2344848;BR;Bahia;POR;State;23424768
2344849;BR;Ceará;POR;State;23424768
2344850;BR;Distrito Federal;POR;State;23424768
2344851;BR;Espírito Santo;POR;State;23424768
2344852;BR;Goiás;POR;State;23424768
2344853;BR;Mato Grosso do Sul;POR;State;23424768
2344854;BR;Maranhão;POR;State;23424768
2344855;BR;Mato Grosso;POR;State;23424768
2344856;BR;Minas Gerais;POR;State;23424768
2344857;BR;Pará;POR;State;23424768
2344858;BR;Paraíba;POR;State;23424768
2344859;BR;Paraná;POR;State;23424768
2344860;BR;Pernambuco;POR;State;23424768
2344861;BR;Piauí;POR;State;23424768
2344862;BR;Rio de Janeiro;POR;State;23424768
2344863;BR;Rio Grande do Norte;POR;State;23424768
2344864;BR;Rio Grande do Sul;POR;State;23424768
2344865;BR;Rondônia;POR;State;23424768
2344866;BR;Roraima;POR;State;23424768
2344867;BR;Santa Catarina;POR;State;23424768
2344868;BR;São Paulo;POR;State;23424768
2344869;BR;Sergipe;POR;State;23424768
2344870;BR;Tocantins;POR;State;23424768
12578051;BR;Assis Brasil;POR;County;2344844
12578052;BR;Brasiléia;POR;County;2344844
12578053;BR;Cruzeiro do Sul;POR;County;2344844
12578054;BR;Feijó;POR;County;2344844
12578055;BR;Mâncio Lima;POR;County;2344844
12578056;BR;Manoel Urbano;POR;County;2344844
12578057;BR;Plácido de Castro;POR;County;2344844
12578058;BR;Rio Branco;POR;County;2344844
12578059;BR;Sena Madureira;POR;County;2344844
12578060;BR;Senador Guiomard;POR;County;2344844
12578061;BR;Tarauacá;POR;County;2344844
12578062;BR;Xapuri;POR;County;2344844
12578063;BR;Água Branca;POR;County;2344845
12578064;BR;Anadia;POR;County;2344845
12578065;BR;Arapiraca;POR;County;2344845
12578066;BR;Atalaia;POR;County;2344845
12578067;BR;Barra de Santo Antônio;POR;County;2344845
12578068;BR;Barra de São Miguel;POR;County;2344845
12578069;BR;Batalha;POR;County;2344845
12578070;BR;Belém;POR;County;2344845
12578071;BR;Belo Monte;POR;County;2344845
12578072;BR;Boca da Mata;POR;County;2344845
12578073;BR;Branquinha;POR;County;2344845
12578074;BR;Cacimbinhas;POR;County;2344845
12578075;BR;Cajueiro;POR;County;2344845
12578076;BR;Campo Alegre;POR;County;2344845
12578077;BR;Campo Grande;POR;County;2344845
12578078;BR;Canapi;POR;County;2344845
12578079;BR;Capela;POR;County;2344845
12578080;BR;Carneiros;POR;County;2344845
12578081;BR;Chã Preta;POR;County;2344845
12578082;BR;Coité do Nóia;POR;County;2344845
12578083;BR;Colônia Leopoldina;POR;County;2344845
12578084;BR;Coqueiro Seco;POR;County;2344845
12578085;BR;Coruripe;POR;County;2344845
